organization,url,size,country,description,url2,category,source,url_https,url_source
Luigi Salvatore,www.luigisalvatore.com,,Ecuador,Dotar de mascarillas a la gente a través de reciclaje textil considerando que serían insumos ecológicos y lavables que construirían con el ambiente ya que al momento hay exceso de mascarillas descartables que deben ser reemplazadas cada 3 horas con una mascarilla de tela se reducirá el costo de adquirir cajas de mascarillas por un solo kit que se le puede lavar y volver a usar,,Medicine supply chains and deliveries,ConnectAmericas,,
Manoa Data,www.manoadata.com,,Colombia,"NuestroBloque es una solución que les permite a los habitantes de una comunidad colaborar en momentos de crisis mediante la distribución justa y el monitoreo de espacios públicos en tiempos de cuarentena. Cuando el uso de espacios públicos es limitado, los habitantes parte de NuestroBloque pueden consultar el uso actual de estos espacios, y solicitar y obtener aprobación para su uso dentro de las reglas establecidas para ello. A través del uso de metodologías y tecnologías Blockchain, la solución comprende un entorno colaborativo en donde cada uno de estos habitantes es un recurso o nodo que puede ejecutar transacciones de uso del espacio público, teniendo en todo momento visibilidad del uso actual. Los nodos trabajan de forma colaborativa para alcanzar una distribución justa del recurso, cuyas reglas y ""contratos"" se pueden adaptar según la evolución de la etapa de crisis.",,Quarantine monitoring and management,ConnectAmericas,,
"Mauisoft Enterprises, S de RL",www.negociomejor.com,,Honduras,"Academia gratuita en linea para empoderar a la juventud y a los profesionales de Contabilidad / Administracion de Empresas, Contaduria, Economia, Finanzas para que puedan transformar digitalmente la administracion de un negocio",,Digital management platforms,ConnectAmericas,,
MB TEXTIL SRL,www.mbtextil.com.ar,,Argentina,"Linea de producción para la fabricacion de barbijos, sabanas; camisas y pantalones de enfermeros, otros textiles; alcohol en gel",,Other,ConnectAmericas,,
MEDIA FOR HEALTH SAS,www.portalsalud.co,,Colombia,"Contamos con citas con médicos especialistas que brindarán servicios virtuales de telemedicina para los pacientes que lo requieran en el territorio Colombiano en las áreas de medicina interna, ortopedia, otorrinolaringología, urología y cardiología",,"Telemedicine, teleassistance",ConnectAmericas,,
MEDIX,www.medix.do,,República Dominicana,"Herramienta de diagnóstico preventivo de epidemias integrado a sistemas de atención medica primaria de emergencia a través de aplicación móvil que ofrece solución de analítica de datos de interés para laboratorios, centros médicos y sistemas de salud pública en modelo G2B2C, G2G y G2B.",,Prediction and prevention,ConnectAmericas,,
MELTRONIC SAS,www.meltronicltda.com,,Colombia,"La solución propuesta se basada en desarrollar equipos para la descontaminación de recintos públicos basada en la utilización de ozono, teniendo en cuenta que este gas tiene una acción del tipo germicida y bactericida Este tipo de equipos puede ser usado en aplicaciones de aire y agua para la descontaminación de lugares públicos, tales como buses de transporte público, hospitales, sitio de alta densidad de público y sitios de aislamiento de personas que puedan tener el coronavirus. Los equipos se encargarían de producir ozono in situ, y este puede ser insuflado en el recinto que se quiere descontaminar. Lo equipos tendrían sistemas de control que están midiendo la calidad del aire así como la concentraciones máximas permitidas, obteniendo un sistema automático de encendido y control de acuerdo a condiciones ambientales",,Triage solutions and hospital management tools,ConnectAmericas,,
Merkalat,www.merkalat.com,,Panamá,Nuestro proyecto busca facilitar la compras sin contacto físico entre las personas y mantener la economía fluyendo.,,Other,ConnectAmericas,,
Met sur SRL,www.metsur.com,,Argentina,Aparato desinfectador de suela de zapatos para la entrada del hogar o lugar de trabajo,,Prediction and prevention,ConnectAmericas,,
Microscopia Y automatizacion S de RL de CV,www.Westmedica.com,,Mexico,Test IgG/IgM Economico y confiable para el COVID,,"Medical testing, diagnostic devices and digital diagnostic solutions",ConnectAmericas,,
Milano Training del Peru SAC,www.milanotrainingdelperu.com,,Perú,"Capacitacion, Imolementacion y ejecución de Seguridad y Salud Ocupacional con énfasis en riesgos biológicos",,Behavioral change,ConnectAmericas,,
Mindful,Jenny.com.ai,,Mexico,"Jenny brinda ayuda terapéutica a los usuarios por medio de un chatbot a través de monitoreo, sensibilización, prediagnósticos y programas de mejora, está basada en la terapia cognitivo conductual, cuenta con diferentes variables tanto negativas como positivas en la cual está incluida el flujo de CONAVID-19.",,Social topics and mental health,ConnectAmericas,,
Mindful,www.jenny.com.ai,,Mexico,"Jenny es un asistente virtual que ayuda a monitorear el estado emocional de las personas y les ofrece la atención personal de especialistas en salud mental 24/7; además, recomienda herramientas y ejercicios que ayudan a disminuir el estrés y bajar la ansiedad. mayores. Jenny interactúa diariamente con las personas a través de un chat que utiliza inteligencia artificial. Jenny puede encontrar patrones de comportamiento y detectar vulnerabilidades en las personas y riesgos organizacionales en los entornos laborales, así como recomendar soluciones a la medida a cada individuo y empresa, a fin de generar bienestar emocional y mental.",,Social topics and mental health,ConnectAmericas,,
Mindful Sapi de CV,www.jenny.com.ai,,Mexico,"Tenemos una AI que detecta emociones humanas y mide la conducta, a través de este mecanismo podemos monitorear y diagnosticar a nuestros usuarios de temas de salud mental, y conectar con un especialista en landslide, actualmente estamos trabajando y listos por lanzar en la solución del Covid donde podremos monitorear informar y diagnosticar a usuarios por nivel de riesgo y geo localizarlos",,Social topics and mental health,ConnectAmericas,,
Mindful SAPI de CV aplicacion Jenny,www.jenny.com.ai,,Mexico,"Life coach con inteligencia artificial que detecta, mide, y pre-diagnostica las emociones humanos. Así como el testea de síntomas de enfermedades como Covid-19.",,Social topics and mental health,ConnectAmericas,,
"Mindful, SAPI de CV",www.jenny.com.ai,,Mexico,"Somos una empresa de RH que creamos un chatbot de Inteligencia Artificial para la detección, medición y diagnóstico en Salud Mental. Es un app que descargas en tu celular, en donde a través de valoraciones psicológicas en temas diversos (como depresión, ansiedad, estrés, adicciones, etc.) dentro del chatbot, vas explorando diversos temas para conocer tu estado emocional y dependiendo de tu resultado, mejorar con nuestros programas internos. Respecto al tema específico del Coronavirus, desarrollamos un flujo específico para ayudar a todas las personas que han sufrido alguna afectación mental o emocional debido a esta pandemia. Con el compromiso de ayuda social con toda la humanidad, ponemos a disposición nuestra herramienta con la esperanza de cooperar en todo lo que podamos en nuestro ámbito de expertise.",,Social topics and mental health,ConnectAmericas,,
MMP Procesos de Calidad en salud,www.mmpprocesos.com,,Colombia,Ergonomía física y cognitiva para teletrabajadores.,,Social topics and mental health,ConnectAmericas,,
Mom Business University,www.mombusinessu.com,,Guatemala,Educación virtual para madres emprendedoras. Enseñándoles alternativas para digitalizar y virtualizar sus negocios. Así mismo cómo mejorarnos sus actuales emprendimientos.,,Remote education,ConnectAmericas,,
Multimedios IP,www.multimediosip.com.ar,,Argentina,Partner de plataforma para teletrabajo y educacion a distancia,,Other,ConnectAmericas,,
Nobus,biocheck.net,,Mexico,"BioCheck Móvil es una aplicación para controlar el registro de asistencia de los empleados, con ubicación a través de cualquier dispositivo con conexión a internet.",,Remote work,ConnectAmericas,,
Nouvie,www.nouvie.com,,Ecuador,Lavado de manos y pisos a través de jabones biodegradables,,Prediction and prevention,ConnectAmericas,,
Omnitrade Soft,www.omnitradeaoft.net,,El Salvador,"- Plataforma de Estudio y capacitación virtual - Plataforma de Monitoreo de actividades escolares - Plataforma para monitoreo de la entrega de medicamentos por toda la cadena de suministros - Plataforma para modelar un negocio en cada una de sus areas de importancia, permitiendo controlar y monitorear en tiempo real las actividades de la gestión (ventas, proyectos, eventos, Canvas estratégicos, clientes, mesa de ayuda). Haciendo la gestión mas dinámica y asegurando el cumplimiento para el logro de resultados. - Herramientas de inteligencia artificial y manejo de big data",,Digital management platforms,ConnectAmericas,,
ON Comunicación Visual,coronavirus.oncvisual.com/,,Ecuador,"Directorio de médicos voluntarios. Permite conectar a médicos y pacientes a distancia evitando colapsar los sistemas de salud. Actualmente tenemos a 110 médicos 40 en Ecuador y 70 en Colombia. Llevamos 3 días, 8000 visitantes y cerca de 1000 consultas.",,"Telemedicine, teleassistance",ConnectAmericas,,
ONE CLICK ENTERPRISE SAC,www.oneclick.pe,,Perú,"Dado que, por ahora, la única forma de frenar el avance del COVID-19 es el aislamiento, supone un desafío identificar y diagnosticar a los posibles infectados dado que la mayoría de las personas no tienen el entrenamiento para identificar claramente los síntomas, requiriendo que vayan a los centros de salud indicados por los gobiernos de cada país generando un riesgo para el personal de salud más aún cuando tienen que trasladarse. Ante esto, mi propuesta busca que por un lado las personas puedan registrarse (incluyendo su GPS de su dirección actual) si tienen los síntomas y si saben identificarlas, por otro lado busca que los profesionales de salud se registren (incluyendo su GPS de su dirección actual). Con los datos de las personas y profesionales de la salud se elabora un mapa sanitario que muestra gráficamente a personas con síntomas y profesionales de la salud. El mapa sanitario se ponen a disposición de las autoridades sanitarias de los países para que puedan identificar mejora a quienes requieren ayuda y a los profesionales que los pueden ayudar en los sintomas y en el tratamiento (si fuera necesario) sin necesidad traslado a los hospitales. Tambien tiene una parte para gestionar el avance del tratamiento por persona según se vaya ejecutando. El nombre de la propuesta es YoTengo en referencia a que tengo cualquier enfermedad, pero se puede focalizar, por ahora, en el COVID-19. Pueden ver el borrador en este enlace corto seguro https://pke.la/K6eZioG",,Digital management platforms,ConnectAmericas,,
Orbelite,www.orbelite.com,,Perú,"Central de alerta, registro y muestra online de casos y ayuda cercana.",,Other,ConnectAmericas,,
Orey Consulting SAS,ClicKiTools.com,,Colombia,"Plantillas editables Gamificadas para Educación, Marketing y Encuestas",,Remote education,ConnectAmericas,,
Orientación Integral para la Familia,www.oifacuida.org,,Costa Rica,"Hemos lanzado un servicio de asistencia remota para dar consejería para los cuidadores de personas adultas mayores, en sesiones individuales o familiares. Ahí serán atendidos por una persona profesional en gerontología y evacuar dudas, inquietudes, comentarios, temores, validar ideas sobre el cuidado, de la guía de la persona profesional",,Social topics and mental health,ConnectAmericas,,
Pablo Perdomo Coaching Online,www.pabloperdomo.net,,Uruguay,Desarrollamos soluciones online para necesidades personales y organizacionales en diseño y toma de desiciones en la productividad personal y organizacional,,Behavioral change,ConnectAmericas,,
Paginaycorreo,www.paginaycorreo.com,,Mexico,opcionremota.com te permite tener videoconferencias a diatancia desde computadoras y moviles sin instalar nada en tu dispositivo. solo registrarse,,Remote education,ConnectAmericas,,
Passus,www.passusips.com,,Colombia,Telemedicina para mantener pacientes de rehabilitación funcional integral con sesiones de rehabilitación en vivo y en remoto. Pacientes con discapacidad cognitiva-FISICA y comportamental. Apoyo en circuitos terapéuticos y de psicoterpaia,,Social topics and mental health,ConnectAmericas,,
PMI Nuevo Cuyo,www.pminuevocuyo.org,,Argentina,Brindar mentoring virtual en Project Management para que pequeños negocios y economías regionales puedan palear los efectos de la crisis.,,Remote education,ConnectAmericas,,
Prevención y Salud Medica S de RL de CV,www.prevenmed.com.mx,,Mexico,"Solución Integral de Medicina Preventiva basada en tecnología Movil. Nos integramos a la infraestructura existente. Nos adaptamos a los requerimientos existentes. Utilizamos tecnología para brindar soluciones de salud preventiva que sean accesibles. Vamos a cualquier lugar o zona. La información generada esta disponible en cualquier momento para nuestros clientes y usuarios. Podemos integrar cualquier prueba móvil, Información y datos referidos por feolocalización, Business Intelligence. Tenemos también una empresa en USA www.prevencare.com estamos alineados a la visión de la OMS, BID, Objetivo 3 de la ONU (Programa de sustentabilidad 2030), OCDE",,Prediction and prevention,ConnectAmericas,,
Proapp,proapp.com.ar,,Argentina,"Somos una plataforma de conexión directa entre dos personas ( Tecnico, profesional, licenciado, oficio, voluntario ) mediante nombre de usuario manteniendo el número de telefono privado. El contacto puede ser gratuito o con cobros de honorarios por el servicio o asesoramiento brindado. Con máxima seguridad y privacidad. La app ya se encuentra disponible para iOS y android. Con una escalabilidad ascendente en estos días de pandemia.",,"Telemedicine, teleassistance",ConnectAmericas,,
PROCESOS Y OPERACIONES LTDA,www.procesosyoperaciones.com,,Colombia,"KPO de desarrollo organizacional a empresas Suministro de soluciones de planes de beneficios a telatrabajadores, que incluyen suministro de medicamentos autorizados por medico o libres, alimentos no procesados y alimentos para mascotas y polizas de seguros a plantilla de personal. Rutas de entrenamiento virtuales segun necesidades de cargos. aplicacion para asignación, segumiento y evaluación de objetivos definidos a teletrabajadores, incluye evaluación de habilidades, plan de desarrollo individual y retroalimentaciones. Bpo de nomina a empresas, de forma remota.",,Remote work,ConnectAmericas,,
Quilsoft,www.quilsoft.com,,Argentina,"Software CLOUD de rápida implementación para gestión médica: historia clínica digital, gestión de fármacos agenda de turnos online, reportes en tiempo real de evaluaciones médicas, pacientes, enferfedades, etc.",,Digital management platforms,ConnectAmericas,,
Región Integrada S.A.S,www.regionintegrada.com,,Colombia,"Desarrollamos hace 3 años una plataforma que permite comunicación en tiempo real entre las clínicas, hospitales y aseguradores para el proceso de referencia de pacientes con reportes y alertas integrando a los actores de los servicios sanitarios incluidos bomberos, defensa civil y cruz roja en una plataforma que facilita y optimiza los procesos de atención de los pacientes de manera automatizada conservando toda la trazabilidad de cada caso y sus información y documentación anexa.",,Digital management platforms,ConnectAmericas,,
SAANU,www.SAANU.COM.CO,,Colombia,"Aplicación web que facilitará el desarrollo de hábitos a las familias e individuos -en época de aislamiento social por covid19- basadas en refuerzo positivo asociado a prevención, vida saludable e inteligencia emocional. Integramos a su vez una solución e-health para Organizaciones saludables en entornos dispersos, desarrolla programas de prevención de la salud y la enfermedad a la medida",,Social topics and mental health,ConnectAmericas,,
SAC (Salud a un clic),www.saludaunclic.com,,Costa Rica,Autoevaluación en línea de COVID-19: ¡Detengamos la propagación! Hemos desarrollado una herramienta simple de evaluación en línea para ayudar a las personas a decidir si necesitan hacerse la prueba de COVID-19. Esta herramienta hace preguntas sobre los síntomas y lleva a las personas a través de pasos para ayudar a determinar si deben llamar al 1322 del Ministerio de Salud para realizar una prueba. Esta funcionando en Costa Rica y Perú; Jamaica y Honduras han mostrado interés en implementar la.,,"Medical testing, diagnostic devices and digital diagnostic solutions",ConnectAmericas,,
SANOLIVAR,www.sanolivar.co,,Colombia,"1. Solución de microlocalización para clínicas y hospitales, rastreo de personal médico, asignación de tareas y estadísticas de servicio 2. Solución de entrega de pedidos, solicitudes de servicios a través de la web 3. IoT para medición de condiciones ambientales 4. Solución de georeferenciación para gestión y rastreo de flotas de ambulancias o vehículos",,Digital management platforms,ConnectAmericas,,
Santa Fe Sistemas SRL,www.sfssrl.com/responsive/index.html,,Argentina,"Triage Mobile (Aplicacion Android/IOS) destinado al paciente. Permite enviar ambulancia, dar recomendación de cuidados en el hogar y/o solicitud de turnos programados / atención en guardia . Triage de Corona virus avalado por Universidad. Suministra Información actualizada en tiempo real sobre mapas para monitorio y toma de decisiones centrales. Integración con la Historia Clínica Digital (opcional).",,Triage solutions and hospital management tools,ConnectAmericas,,
Smartlabs,es-la.facebook.com/smartlabsColombia/,,Colombia,Respirador artificial de menos de 200 dólares,,Respirators,ConnectAmericas,,
SOFTLOGICA WEB SAS,www.SOFTLOGICASAS.COM,,Colombia,"Portal WEB especializado en atención Medica que permite realizar, historias clínicas, evoluciones y verificar estadísticas de acuerdo a las especificaciones",,Digital management platforms,ConnectAmericas,,
SoftnetCorp,www.softnetcorp.net,,Venezuela,"Proveemos soluciones de trabajo colaborativo, Teletrabajo, Educación a Distancia, Gestion Remota de Negocios, Home Office.",,Digital management platforms,ConnectAmericas,,
Tesla Medical Devices S. A.,www.teslamd.com,,Argentina,"TESLA MEDICAL DEVICES S. A. es una empresa establecida en Argentina con el fin de servir a emprendedores del sector científico y tecnológico que se desenvuelven en el área de la Tecnología Médica, colaborando con el desarrollo, producción y comercialización de productos innovadores. En este momento, Tesla MD esta analizando la mejor forma de organización y asociación con emprendedores del sector científico, publico y privado, para el rápido desarrollo y producción de respiradores y kits de diagnostico. Dada la actual crisis desatada por la pandemia, Tesla MD no busca rédito económico en estas 2 actividades.",,Respirators,ConnectAmericas,,
Ultima Milla,www.ultimamilla.com.ar,,Argentina,"CHATBOT abierto orientado a municipios con desarrollo de respuestas automáticas para consultas CORONA VIRUS. Integración a web services de centros de salud/organismos/gobiernos. Integración con canales de mensajerias Whats APP, Telegram. BLOCKCHAIN, sistema de certificación para trazabilidad, inmutabilidad de documentos, firma digital.",,"Telemedicine, teleassistance",ConnectAmericas,,
View-Factor,www.view-factor.com/thermosense/,,Bolivia,"Sistema inteligente de detección de fiebre para aeropuerto y areas publicas. Este sistema no necesita la cooperación de las personas ya que automáticamente las detecta en una escena y les toma la temperatura con una precision de 0.3 grados centrados. Esto permite su instalación en aeropuertos, edificios públicos y otros.",,Temperature screening in public spaces,ConnectAmericas,,
WOW Emotions,wowemotions.com/?gclid=Cj0KCQjw9tbzBRDVARIsAMBplx_9CV0f5BAhLD29eTPAkUAvx3CbDWIFU0PLjwXrR8m1zMFJZTUdlaEaAu2NEALw_wcB,Regional,Costa Rica,"Como solución contamos con una plataforma de realidad aumentada que nos ha permitido comunicar sobre el Covid19 de una manera interactiva a través de los billetes de cada país (inicialmente en Costa Rica): consejos, casos en el mundo, noticias importantes, fuentes de confianza, sugerencias, casos en Costa Rica, videos importantes, entre otros. La plataforma despliega toda la información necesaria en tiempo real la cual es sacada exclusivamente de fuentes de confianza aprobadas por el Gobierno Costarricense. La campaña fue lanzada el viernes 13 de marzo y ha sido tan exitosa que hemos sido invitados a los principales medios de comunicación hablar al respecto y también nos han llamado de varios países para poder implementarla en los mismos. Esta campaña ha sido creada sin fines de lucro por la empresa WOW Emotions en la cual todo el equipo ha trabajado fuertemente incluso en horarios fuera de oficina. Sin embargo, esto ha significado una inversión importante en tiempo y dinero para la empresa que hemos donado con mucho gusto para Costa Rica, pero nos es económicamente imposible poder replicarla en los otros países por todo el trabajo que conlleva. Lo mas importante de la campaña ha sido todos los cientos de comentarios que hemos recibido por parte de padres de Familia agradeciéndonos por que a los menores de la casa les ha encantado esta forma innovadora de mantenerlos informados y la siguen diariamente. Poder realizar la implementación de esta plataforma en todos los países de Latinoamérica estamos seguro que tendrá un impacto nunca antes visto ante un medio de comunicación innovador como lo es la realidad aumentada. La mejor forma de poder presentar nuestra propuesta es viendo los videos que nos han realizado en las noticias y demás información que [enemos: https://www.facebook.com/wowemotions/videos/1 97670805001862/ https://bit.ly/2QlcnaP https://www.dropbox.com/sh/e1 7n q p4gz82m20x/AAABlwvExKeJtPYM9j 3GpVxma?dlzO",,Other,ConnectAmericas,,
Zowl Labs,www.zowllabs.com,Global,Argentina,Productos y servicios de visión e inteligencia artificial para la industria y productos en gral.,,Temperature screening in public spaces,ConnectAmericas,,
TNH Health,w.tnh.health/o/4775,,Brazil,"Virtual assistant within the Vitalk platform, which answers common questions about COVID-19, checks symptoms for live guidance and emotional support. In the Vitalk app, in addition to all the content to take care of mental health, content focused on social isolation and the impacts of COVID-19 on emotional health were added.",,"Telemedicine, teleassistance",,,
Universaúde,www.universaude.com.br/,,Brazil,"Open telehealth to answer questions about COVID-19. The tool is available 24 hours a day via online chat on the website. Another action will be the realization of 40 Lives from 03/18 to 05/12 through the channel on Youtube, from 8:57 pm to 9:30 pm, covering 7 topics in the Health area for managers and health professionals.",,"Telemedicine, teleassistance",,,
Caren.App,www.coronavirus.caren.app/pt-BR/attendance,,Brazil,Free self-assessment test for COVID-19 symptoms,,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
Fleximedical,fleximedical.net/,,Brazil,"Development of mobile and portable units (containers, carts, buses, vans) to make up for the lack of hospital beds, isolation beds, ICUs and tests that are part of the Coronavirus treatment protocol, such as tomography.",,Treatments,,,
Telavita,www.telavita.com.br/,,Brazil,The platform offers online psychotherapy with qualified professionals to take care of mental and emotional health to the general public and companies interested in offering this benefit to their employees.,,Social topics and mental health,,,
Dandelin,dandelin.io/,,Brazil,"It provides a filter in the app to find doctors able to attend cases of COVID-19, and offers free consultations for people in the risk group. They are also distributing free alcohol gel, masks, gloves and booklets on how to behave to help contain contamination. There are 3,000 hours available exclusively for cases of COVID-19.",,"Telemedicine, teleassistance",,,
Dr. Symptoms,covid19.drsintomas.com.br/,,Brazil,Free self-assessment based on WHO protocols for COVID-19. It can also be used as a digital screening by governments and private companies.,,"Telemedicine, teleassistance",,,
Labi Exams,labiexames.com.br/coronavirus,,Brazil,"Until the end of March, free tests to identify COVID19 in patients over 80 years old. Whoever is presenting the symptoms of Coronavirus, can fill out a questionnaire and attach the medical request to schedule the collection service at Labi's home free of charge. The exams are restricted to the coverage area and limited to the service capacity.",,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
LifeClass,www.vidaclass.com.br/coronavirus,,Brazil,Consultations online for 30 days to assess coronavirus symptoms.,,"Telemedicine, teleassistance",,,
SaveLivez,livia.bot/,,Brazil,"Development of Livia.bot, a virtual assistant that helps with questions about COVID-19 and also about the requirements for blood donation online and free of charge.",,"Telemedicine, teleassistance",,,
Hi Technologies,hilab.com.br/,,Brazil,"Rapid test for Coronavirus with 15 minutes duration with cost of R $ 130.00. As a comparison, an H1N1 test in a reference laboratory in Brazil costs between R $ 1,500 and R $ 2,000, and takes up to 24 hours to launch the result.",,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
The Taba,ataba.com.br/,,Brazil,"Story marathon, online reading circles and free storytelling for children, in addition to providing activity tips and free materials for families.",,Remote education,,,
Stoodi,www.stoodi.com.br/,,Brazil,"Video preparation classes for the entrance exam available for free in the application. The action has an initial duration of 30 days, and may be extended if the suspension of classes in schools in the country remains for longer.",,Remote education,,,
Reconect,www.reconectta.com/,,Brazil,"Content with countless possibilities of activities and educational and sustainability materials for parents, children and educators while they are at home.",,Remote education,,,
Joca Newspaper,www.jornaljoca.com.br/,,Brazil,"Opening of all coronavirus content on the website: 
Edition 145 of the printed version in PDF 
Updated informations 
Articles and reports 
Podcasts for educators and youth 
Activities for schools to apply at a distance",,Remote education,,,
ChatClass,www.chatclass.com.br/,,Brazil,"English learning platform via Whatsapp and live classes available free of 
charge until April 17th",,Remote education,,,
ForEducation Edtech,covid.foredu.com.br/,,Brazil,"Good practice guide for online classes, including tools and pedagogical guidance.",,Remote education,,,
More Vivid,www.maisvivida.com.br/,,Brazil,"The startup's operation, which recruits young people to support the elderly in different activities, such as the purchase of medicines and supplies, remote technological assistance and contact via video calls to combat isolation, is available free of charge.",,Treatments,,,
Aurratech,www.aurratech.com,,Brazil,"Company operating in the industrial disinfection process, which uses sustainable and efficient technology as a base.",,Treatments,,,
Blue Shift,blueshift.com.br/,,Brazil,It develops thermal cameras that are used to screen people temperature and compares it with a database,,Temperature screening in public spaces,,,
EPHealth,www.ephealth.com.br/,,Brazil,"Solution for the Family Health Strategy involving Community Health Agents, Nurses and Doctors. Integrated with e-SUS. It is promoting a Hackaton to create a COVID-19 notification module for Community Health workers",,Treatments,,,
Ignilife,www.ignilife.com/pt-br/,,Brazil,The health promotion and engagement app included useful tips and guidance on coronavirus,,"Telemedicine, teleassistance",,,
Mindfy,www.mindify.net/,,Brazil,It is a clinical decision support system based on optimized protocols to also simplify the collection and validation of clinical data. The company launched its specific protocol for covid-19,,Big data and analytics,,,
Simple Med,www.eaihealth.com.br/simplemed,,Brazil,Home medication monitoring platform. It is prepared to care for elderly and quarantined patients,,Quarantine monitoring and management,,,
Triágil,triagil.com.br/,,Brazil,Triagil is a tool like a virtual doctor that assesses patients' symptoms. It is working to include covid-19 in its screening,,"Telemedicine, teleassistance",,,
Happinss,vr.happinss.com,,Mexico,Happinss has vowed to improve mental health and happiness through exposure to positive stimuli as well as inculcate humanity fundamental values through the use of technological tools with scientific validation.,,Social topics and mental health,,,
Doctu,www.doctu.com/,,Mexico,"Doctu ofrece la mejor experiencia para tu salud, descarga y obtén asesoría médica por chat o videollamada 24/7.",,"Telemedicine, teleassistance",,,
Zyght,soluciones.zyght.com/COVID-19,,Chile,"En busca de ayudar a las empresas a resguardar la Salud Ocupacional de sus trabajadores, lanzamos esta Versión Gratuita de ZYGHT, una Solución Digital que permite monitorear el cumplimiento de las medidas preventivas recomendadas para prevenir el contagio del Coronavirus",,Remote work,,,
Educaswitch,plataforma.educaswitch.com/,,Chile,"Educaswitch launched an open platform for families in quarantine. It includes activities, recommendations and educational content so that kids can stay active, learn and stay entertained. It is segmented by courses and ages so it matches the interests and languages of different audiences.",,Remote education,,,
iDoLearning,www.idolearning.co,,Colombia,ts English teaching platform will be free and open for anyone willing to upgrade their anglo-skills for the next couple of weeks.,,Remote education,,,
Kinedu,www.kinedu.com,,Mexico,"Kinedu is an app that provides fun and age-based daily activity ideas to do with your little one. Each activity targets a key developmental area, helping your baby reach every milestone.",,Remote education,,,
Epitrack,www.epitrack.tech/,,Brazil,"Epitrack's algorithms search for patterns and generate interactive maps and indicate affected locations in different areas. When a group of users with the same symptoms is identified, in the same space and time, it can be an indication of an outbreak. The goal of the platforms is to quickly identify the risk of diseases outbreaks and epidemics. This real-time data allows health officials to analyze risk scenarios and effectively manage the response in a timely manner.",,Big data and analytics,,,
Way,www.way.com.co/,,Colombia,Plataforma de Telesalud y telemedicina para personal de la salud y sus pacientes / usuarios. 2 aplicaciones gratuitas que permiten la interacción entre personal de salud y usuarios. APP Way Medicals: versión para personal de salud y APP Way: versión para usuarios y pacientes con acceso a Telesalud y Telemedicina.,,"Telemedicine, teleassistance",,,
Teleworker,www.teleworker.co/,,Colombia,"Empresa consultora en procesos de transformación digital del talento humano y trabajo flexible como el trabajo remoto, el teletrabajo y el home office. Acceso gratuito a app móvil para que trabajadores puedan programar sus tareas, medir su productividad, georeferenciar su ubicación y exportar reportes en PDF | Videotutoriales gratuitos para aplicar el trabajo en casa.",,Remote work,,,
Key Talent,keytalent.com.co/cursos-teletrabajo/,,Colombia,"Firma enfocada en gestión de talento humano, expertos en selección de personal, capacitación y consultoría. Talleres virtuales sobre herramientas gratuitas para la gestión del home office como: de tareas, conferencias y reuniones virtuales, control de actividades, trabajo por objetivos, protocolos de comunicación diaria, pautas de autocontrol, bienestar laboral.",,Remote work,,,
Ubits,ubits.mx/formulario-ubits-gratis/,,Colombia,Plataforma de capacitación corporativa online. Cuenta con la biblioteca de contenido en español más grande de Latinoamérica. Entrega de 100 licencias gratis por empresa para capacitación online gratuita en habilidades blandas y técnicas para resolver las necesidades diarias de los trabajadores.,,Remote work,,,
The Biz Nation,www.thebiznation.com/,,Colombia,"Plataforma de educación que ofrece cursos sobre emprendemiento, tecnología y educación financiera. Cursos virtuales gratis: Desarrollo de habilidades para el trabajo y el emprendimiento. Uso apropiado y productivo de tiempo de disponible en casa. Capacitación para empresas que no cuentan con plataforma digital.",,Remote education,,,
A Taba,blog.ataba.com.br,,Brasil,"Maratona de histórias, Rodas de leitura online e contações de histórias para crianças gratuitas, além de disponibilizar dicas de atividades e oferta de materiais gratuitos para as famílias.",,Remote education,Quintessa,,
Stoodi,www.stoodi.com.br/blog/2020/03/13/stoodi-de-portas-abertas/,,Brasil,"As videoaulas de preparação para o vestibular estão disponíveis gratuitamente no aplicativo. A ação tem duração inicial de 30 dias, podendo ser prorrogada caso a suspensão das aulas em escolas do país permaneça por mais tempo.",,Remote education,Quintessa,,
Reconectta,www.reconectta.com/conteudos,,Brasil,"Conteúdo com inúmeras possibilidades de atividades e materiais de educação e sustentabilidade para pais, filhos e educadores no período que estão em casa.",,Remote education,Quintessa,,
Jornal Joca,www.jornaljoca.com.br/novo-coronavirus-conteudos-jornalisticos-e-pedagogicos/,,Brasil,"Abertura de todos os conteúdos sobre coronavírus no site em linguagem acessível para crianças: Edição 145 da versão impressa em PDF, Informações atualizadas, Matérias e reportagens, Podcasts para educadores e para jovens, Atividades para as escolas aplicarem à distância",,Remote education,Quintessa,,
ChatClass,www.chatclass.com.br/post/chatclass-premium-ingles-gratuito,,Brasil,A plataforma de aprendizado de inglês via Whatsapp e aulas ao vivo está disponível gratuitamente até 17 de Abril.,,Remote education,Quintessa,,
Já Entendi,jaentendienem.com.br/,,Brasil,"Disponibiliza por 6 meses de forma gratuita o curso preparatório para o ENEM. Após fazer o cadastro, é necessário solicitar a liberação para jaentendi@jaentendi.com.br",,Remote education,Quintessa,,
Hand Talk,www.handtalk.me/br,,Brasil,"Disponibiliza de forma gratuita para site de notícias o plugin para tradução de texto em Libras, para tornar a informação acessível para surdos.",,Other,Quintessa,,
